"keys","tr"
,
"lbl_channel","Kanal:"
"rbtn_stable","Kararlı"
"rbtn_experimental","Deneysel"
"lbl_changelog","[right][color=#3b93f7][url]Deneysel değişiklik listesini gör[/url][/color][/right]"
"lbl_builds","Kullanılabilir sürümler:"
"btn_refresh","Yenile"
"btn_install","Seçileni yükle"
"btn_update","Seçilene yükselt"
"cb_update_active","Şu an aktif olan sürümü yükselt"
"lbl_active_install","Aktif sürüm"
"btn_play","Oyna"
"btn_resume","Son dünyaya devam et"
"lbl_installs","Yüklenmiş sürümler:"
"lbl_currently_installed","Yüklü olanlar:"
"lbl_none","Hiç"
"btn_activate","Aktif yap"
"btn_delete","Sil"
,
"tooltip_game","Oynamak ya da ayarlamak istediğin oyunu seç"
"tooltip_changelog","GitHub daki son değişikliklerin özeti için tıkla"
"tooltip_stable","Kararlı sürüm kanalı (sadece DDA)."
"tooltip_experimental","Deneysel sürüm kanalı"
"tooltip_builds","Yüklemek ya da güncellemek istediğin oyunu seç"
"tooltip_refresh","GitHub tan kullanılabilir oyun sürümlerini yeniden yükle (sadece deneysel sürümler için)."
"tooltip_install","Seçili oyun sürümünü yükle (DDA ve BN\nayrı olarak yönetilir ve birlikte bulunabilirler)."
"tooltip_update","Seçiliyse, aktif yükleme yukarıda seili\nnyüklemeyle değişecektir.\nDeğilse, seçili sürüm ayrı bir yükleme olacaktır."
"tooltip_game_dir","Oyun yükleme dizinini aç (yürütülebilir dosyayı ve\noyun içi içeriği içerir)"
"tooltip_user_dir","Kullanıcı kayıt dizinini aç (kayıt dosyaları, \noyun ayarları, kullanıcı modları, ses, vs. içerir)"
"tooltip_play","Oyunu çalıştır"
"tooltip_resume","Ana menüyü atla ve hızlıca son açılmış dünyayı yükle.\n(Eğer birden fazla karakter varsa ilki yüklenir.)"
"tooltip_wiki","Bu oyun forkunun wiki sini aç (şu anda sadece TLG için kullanılabilir)."
"tooltip_search_wiki","TLG wikisinde yazılan terimi ara (sadece TLG için kullanılabilir)."
"tooltip_activate","Seçili oyun yüklemesini (ör. Kullanılan) aktif yap.\n""Aktif"" yükleme Oyna/Devam et tuşuna tıklandığında çalışır, Yükle tuşuna bastığın zaman da güncellenir."
"tooltip_delete","Seçili oyun kopyasını sil.\n(Kayıtlar, ayarlar ve diğer kullanıcı verileri\nayrı olarak saklanır ve silinmezler.)"
"tooltip_installs_item","Konum:\n%s\n(klasörü açmak için çift tıkla)"
,
"msg_set_active","Aktif sürüm %s ‘a ayarlanıyor."
"msg_glibc_version_warning","Warning: this game build requires GLIBC %s, which is newer than what your system provides. The game may fail to start."
"msg_glibc_upgrade_hint","To fix this, upgrade your Linux distribution or use a newer Ubuntu/Debian base. Experimental builds track the latest GLIBC."
"msg_crash_renderer_detected","Game crashed with a known display settings issue. Your userdata may contain an 'opengles' renderer setting that is incompatible with this version of CDDA."
"msg_crash_renderer_dialog_title","Reset Display Settings?"
"msg_crash_renderer_fix_offer","The game crashed due to an incompatible display settings file (config/options.json).\n\nThis is caused by an old 'opengles' renderer setting that is no longer supported in recent CDDA builds (after 2026-04-10).\n\nWould you like to delete config/options.json to reset your display settings?\nYour saves and other data will not be affected."
"btn_reset_display_settings","Reset Settings"
"msg_crash_renderer_options_deleted","Display settings reset. Relaunch the game to apply fresh defaults."
"msg_crash_renderer_options_delete_failed","Failed to delete config/options.json. Please delete it manually from your userdata/config folder."
